Guloso-VND-ILS
Solução (Tempo)
11962-9062-7866 (841-3061-192255)
11962-11962-7824 (821-777-491654)
11962-11962-7834 (741-709-160715)
11962-11962-7818 (722-730-183579)
11962-11962-7947 (767-743-158652)
11962-11365-7810 (681-783-214239)
11962-11962-7855 (702-702-350649)
11962-9062-7908 (715-1659-279276)

n450m16_A

12725-5851-5648 (120613-715319-13674725)
12725-7000-5604 (122245-313564-11584436)
12725-5587-5587 (146422-724578-15812422)
12725-6019-5663 (139895-503627-14897298)
12725-6106-5640 (102445-488964-17144910)
12725-6193-5579 (151009-496335-14587920)
12725-5798-5635 (108248-752718-39901378)
12725-6397-5669 (132190-398818-14717139)
12725-6077-5632 (164594-758170-24783805)
12725-7815-5586 (115400-247291-14375985)

n500m10_A

13937-8500-7905 (157826-452234-46033347)
13937-11350-7969 (159580-182587-46794071)
13937-9446-7872 (130453-258452-72055347)
13937-9127-7960 (167865-479652-21793649)
13937-11317-7943 (162923-103365-70556823)
13937-9607-7893 (207916-264591-63914240)
13937-7995-7906 (242919-1333871-42121284)
13937-8373-7942 (186283-780710-69470672)
13937-9344-7905 (250779-494851-51738946)
13937-8215-7937 (171550-1144899-52350012)
